-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.44s (64.71%)
Backward elimination: 0.24s (35.29%)
Inverse function total: 0.68s (1)
-----------------------------------
Total time for the direct method: 15.38s
Result x is: Matrix [1000][1]:
	[ ,0]	
[0, ]	0.0002428 	
[1, ]	0.00016 	
[2, ]	-0.0003934 	
[3, ]	0.0004315 	
[4, ]	0.0008138 	
[5, ]	0.0002818 	
[6, ]	0.001281 	
[7, ]	0.0007469 	
[8, ]	0.0003829 	
[9, ]	0.0005127 	
[10, ]	0.001212 	
[11, ]	-0.0004867 	
[12, ]	0.0001471 	
[13, ]	0.0001099 	
[14, ]	0.0006787 	
[15, ]	6.743e-05 	
[16, ]	0.0009326 	
[17, ]	0.0008296 	
[18, ]	0.0009454 	
[19, ]	0.0003748 	
[20, ]	0.0006674 	
[21, ]	0.001308 	
[22, ]	0.0009856 	
[23, ]	0.0006735 	
[24, ]	0.001364 	
[25, ]	0.001147 	
[26, ]	0.001359 	
[27, ]	0.0004368 	
[28, ]	0.0007372 	
[29, ]	-0.0002699 	
[30, ]	0.001169 	
[31, ]	0.001149 	
[32, ]	0.001202 	
[33, ]	0.0002875 	
[34, ]	0.0006452 	
[35, ]	0.001209 	
[36, ]	0.000742 	
[37, ]	-0.0001663 	
[38, ]	0.0006997 	
[39, ]	0.0009924 	
[40, ]	-0.0004258 	
[41, ]	0.001406 	
[42, ]	0.001156 	
[43, ]	0.0002257 	
[44, ]	0.001218 	
[45, ]	-0.0003907 	
[46, ]	1.399e-05 	
[47, ]	0.0003707 	
[48, ]	0.0005426 	
[49, ]	0.0008366 	
[50, ]	-0.0001686 	
[51, ]	0.001453 	
[52, ]	0.001158 	
[53, ]	-0.000442 	
[54, ]	0.001052 	
[55, ]	-0.0002339 	
[56, ]	-0.000485 	
[57, ]	0.001422 	
[58, ]	0.001124 	
[59, ]	-0.0004612 	
[60, ]	0.0002814 	
[61, ]	0.001137 	
[62, ]	0.0005871 	
[63, ]	0.001208 	
[64, ]	-8.128e-05 	
[65, ]	0.0005517 	
[66, ]	0.0004622 	
[67, ]	0.0005759 	
[68, ]	0.0009486 	
[69, ]	0.0005805 	
[70, ]	0.001089 	
[71, ]	0.000487 	
[72, ]	0.0003232 	
[73, ]	0.0005224 	
[74, ]	-0.0004235 	
[75, ]	0.0009602 	
[76, ]	0.0008695 	
[77, ]	0.0005793 	
[78, ]	-0.0002159 	
[79, ]	-6.643e-05 	
[80, ]	0.0005527 	
[81, ]	0.001377 	
[82, ]	-0.0003798 	
[83, ]	0.001252 	
[84, ]	0.0007186 	
[85, ]	0.0003694 	
[86, ]	0.0003348 	
[87, ]	0.0007831 	
[88, ]	0.0001831 	
[89, ]	0.00136 	
