-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.45s (65.22%)
Backward elimination: 0.24s (34.78%)
Inverse function total: 0.69s (1)
-----------------------------------
Total time for the iterative method: 4.63s
Result from Jacobi x is 
Matrix [1000][1]:
	[ ,0]	
[0, ]	-1.487e+08 	
[1, ]	-1.488e+08 	
[2, ]	-1.49e+08 	
[3, ]	-1.49e+08 	
[4, ]	-1.487e+08 	
[5, ]	-1.488e+08 	
[6, ]	-1.488e+08 	
[7, ]	-1.49e+08 	
[8, ]	-1.486e+08 	
[9, ]	-1.488e+08 	
[10, ]	-1.491e+08 	
[11, ]	-1.49e+08 	
[12, ]	-1.485e+08 	
[13, ]	-1.487e+08 	
[14, ]	-1.487e+08 	
[15, ]	-1.488e+08 	
[16, ]	-1.489e+08 	
[17, ]	-1.485e+08 	
[18, ]	-1.487e+08 	
[19, ]	-1.488e+08 	
[20, ]	-1.491e+08 	
[21, ]	-1.489e+08 	
[22, ]	-1.487e+08 	
[23, ]	-1.485e+08 	
[24, ]	-1.491e+08 	
[25, ]	-1.488e+08 	
[26, ]	-1.488e+08 	
[27, ]	-1.485e+08 	
[28, ]	-1.489e+08 	
[29, ]	-1.486e+08 	
[30, ]	-1.486e+08 	
[31, ]	-1.489e+08 	
[32, ]	-1.485e+08 	
[33, ]	-1.49e+08 	
[34, ]	-1.489e+08 	
[35, ]	-1.49e+08 	
[36, ]	-1.488e+08 	
[37, ]	-1.485e+08 	
[38, ]	-1.488e+08 	
[39, ]	-1.489e+08 	
[40, ]	-1.49e+08 	
[41, ]	-1.49e+08 	
[42, ]	-1.485e+08 	
[43, ]	-1.486e+08 	
[44, ]	-1.489e+08 	
[45, ]	-1.489e+08 	
[46, ]	-1.489e+08 	
[47, ]	-1.489e+08 	
[48, ]	-1.489e+08 	
[49, ]	-1.49e+08 	
[50, ]	-1.487e+08 	
[51, ]	-1.485e+08 	
[52, ]	-1.486e+08 	
[53, ]	-1.49e+08 	
[54, ]	-1.488e+08 	
[55, ]	-1.486e+08 	
[56, ]	-1.487e+08 	
[57, ]	-1.487e+08 	
[58, ]	-1.487e+08 	
[59, ]	-1.486e+08 	
[60, ]	-1.485e+08 	
[61, ]	-1.486e+08 	
[62, ]	-1.489e+08 	
[63, ]	-1.486e+08 	
[64, ]	-1.487e+08 	
[65, ]	-1.485e+08 	
[66, ]	-1.486e+08 	
[67, ]	-1.488e+08 	
[68, ]	-1.488e+08 	
[69, ]	-1.49e+08 	
[70, ]	-1.49e+08 	
[71, ]	-1.489e+08 	
[72, ]	-1.487e+08 	
[73, ]	-1.487e+08 	
[74, ]	-1.489e+08 	
[75, ]	-1.487e+08 	
[76, ]	-1.486e+08 	
[77, ]	-1.486e+08 	
[78, ]	-1.49e+08 	
[79, ]	-1.488e+08 	
[80, ]	-1.49e+08 	
[81, ]	-1.486e+08 	
[82, ]	-1.487e+08 	
[83, ]	-1.487e+08 	
[84, ]	-1.487e+08 	
[85, ]	-1.487e+08 	
[86, ]	-1.488e+08 	
[87, ]	-1.485e+08 	
[88, ]	-1.49e+08 	
[89, ]	-1.49e+08 	
[90, ]	-1.491e+08 	
[91, ]	-1.488e+08 	
[92, ]	-1.487e+08 	
[93, ]	-1.487e+08 	
[94, ]	-1.488e+08 	
[95, ]	-1.487e+08 	
[96, ]	-1.488e+08 	
[97, ]	-1.488e+08 	
[98, ]	-1.487e+08 	
[99, ]	-1.489e+08 	
[100, ]	-1.485e+08 	
[101, ]	-1.485e+08 	
[102, ]	-1.491e+08 	
[103, ]	-1.49e+08 	
[104, ]	-1.487e+08 	
[105, ]	-1.49e+08 	
[106, ]	-1.489e+08 	
[107, ]	-1.486e+08 	
[108, ]	-1.491e+08 	
[109, ]	-1.491e+08 	
[110, ]	-1.489e+08 	
[111, ]	-1.488e+08 	
[112, ]	-1.487e+08 	
[113, ]	-1.487e+08 	
[114, ]	-1.491e+08 	
[115, ]	-1.488e+08 	
[116, ]	-1.49e+08 	
[117, ]	-1.491e+08 	
[118, ]	-1.489e+08 	
[119, ]	-1.489e+08 	
[120, ]	-1.488e+08 	
[121, ]	-1.486e+08 	
[122, ]	-1.49e+08 	
[123, ]	-1.49e+08 	
[124, ]	-1.487e+08 	
[125, ]	-1.485e+08 	
[126, ]	-1.49e+08 	
[127, ]	-1.49e+08 	
[128, ]	-1.486e+08 	
[129, ]	-1.486e+08 	
[130, ]	-1.487e+08 	
[131, ]	-1.489e+08 	
[132, ]	-1.489e+08 	
[133, ]	-1.485e+08 	
[134, ]	-1.489e+08 	
[135, ]	-1.49e+08 	
[136, ]	-1.491e+08 	
[137, ]	-1.485e+08 	
[138, ]	-1.488e+08 	
[139, ]	-1.491e+08 	
[140, ]	-1.488e+08 	
[141, ]	-1.489e+08 	
[142, ]	-1.486e+08 	
[143, ]	-1.489e+08 	
[144, ]	-1.487e+08 	
[145, ]	-1.488e+08 	
[146, ]	-1.486e+08 	
[147, ]	-1.486e+08 	
[148, ]	-1.486e+08 	
[149, ]	-1.487e+08 	
[150, ]	-1.486e+08 	
[151, ]	-1.488e+08 	
[152, ]	-1.489e+08 	
[153, ]	-1.488e+08 	
[154, ]	-1.487e+08 	
[155, ]	-1.488e+08 	
[156, ]	-1.486e+08 	
[157, ]	-1.486e+08 	
[158, ]	-1.488e+08 	
[159, ]	-1.489e+08 	
[160, ]	-1.486e+08 	
[161, ]	-1.487e+08 	
[162, ]	-1.489e+08 	
[163, ]	-1.491e+08 	
[164, ]	-1.485e+08 	
[165, ]	-1.485e+08 	
[166, ]	-1.486e+08 	
[167, ]	-1.491e+08 	
[168, ]	-1.487e+08 	
[169, ]	-1.489e+08 	
[170, ]	-1.489e+08 	
[171, ]	-1.485e+08 	
[172, ]	-1.491e+08 	
[173, ]	-1.49e+08 	
[174, ]	-1.487e+08 	
[175, ]	-1.485e+08 	
[176, ]	-1.489e+08 	
[177, ]	-1.489e+08 	
[178, ]	-1.489e+08 	
[179, ]	-1.49e+08 	
[180, ]	-1.486e+08 	
[181, ]	-1.488e+08 	
[182, ]	-1.486e+08 	
[183, ]	-1.489e+08 	
[184, ]	-1.486e+08 	
[185, ]	-1.488e+08 	
[186, ]	-1.486e+08 	
[187, ]	-1.485e+08 	
[188, ]	-1.49e+08 	
[189, ]	-1.486e+08 	
[190, ]	-1.485e+08 	
[191, ]	-1.491e+08 	
[192, ]	-1.487e+08 	
[193, ]	-1.487e+08 	
[194, ]	-1.485e+08 	
[195, ]	-1.489e+08 	
[196, ]	-1.485e+08 	
[197, ]	-1.488e+08 	
[198, ]	-1.488e+08 	
[199, ]	-1.487e+08 	
[200, ]	-1.489e+08 	
[201, ]	-1.49e+08 	
[202, ]	-1.489e+08 	
[203, ]	-1.488e+08 	
[204, ]	-1.487e+08 	
[205, ]	-1.491e+08 	
[206, ]	-1.486e+08 	
[207, ]	-1.489e+08 	
[208, ]	-1.487e+08 	
[209, ]	-1.488e+08 	
[210, ]	-1.486e+08 	
[211, ]	-1.488e+08 	
[212, ]	-1.49e+08 	
[213, ]	-1.487e+08 	
[214, ]	-1.487e+08 	
[215, ]	-1.49e+08 	
[216, ]	-1.488e+08 	
[217, ]	-1.49e+08 	
[218, ]	-1.489e+08 	
[219, ]	-1.487e+08 	
[220, ]	-1.49e+08 	
[221, ]	-1.486e+08 	
[222, ]	-1.491e+08 	
[223, ]	-1.485e+08 	
[224, ]	-1.489e+08 	
[225, ]	-1.49e+08 	
[226, ]	-1.489e+08 	
[227, ]	-1.486e+08 	
[228, ]	-1.485e+08 	
[229, ]	-1.487e+08 	
[230, ]	-1.489e+08 	
[231, ]	-1.485e+08 	
[232, ]	-1.487e+08 	
[233, ]	-1.487e+08 	
[234, ]	-1.486e+08 	
[235, ]	-1.486e+08 	
[236, ]	-1.486e+08 	
[237, ]	-1.489e+08 	
[238, ]	-1.49e+08 	
[239, ]	-1.49e+08 	
[240, ]	-1.487e+08 	
[241, ]	-1.486e+08 	
[242, ]	-1.488e+08 	
[243, ]	-1.485e+08 	
[244, ]	-1.489e+08 	
[245, ]	-1.488e+08 	
[246, ]	-1.485e+08 	
[247, ]	-1.487e+08 	
[248, ]	-1.489e+08 	
[249, ]	-1.487e+08 	
[250, ]	-1.487e+08 	
[251, ]	-1.489e+08 	
[252, ]	-1.491e+08 	
[253, ]	-1.488e+08 	
[254, ]	-1.489e+08 	
[255, ]	-1.487e+08 	
[256, ]	-1.486e+08 	
[257, ]	-1.485e+08 	
[258, ]	-1.489e+08 	
[259, ]	-1.489e+08 	
